Name,PACF,gamma,lambda,delta,xi,sample_time,min,max
Dexcom,0.7,-0.5444,15.9574,1.6898,-5.47,3.0,0.0,1000.0
GuardianRT,0.7,-0.5444,15.9574,1.6898,-5.47,5.0,0.0,1000.0
Navigator,0.7,-0.5444,15.9574,1.6898,-5.47,1.0,0.0,1000.0
